Usuario|Respondida por|Concepto evaluado|Elemento evaluado|Asistí a las clases (presenciales y/o virtuales)|He entregado las tareas solicitadas (trabajos prácticos, presentaciones, proyectos, etc.) dentro de los plazos establecidos|Aprobé la materia encuestada|La asignatura me pareció intelectualmente atractiva y estimulante.|Aprendí cosas que considero valiosas.|Aprendí y comprendí los contenidos de la asignatura.|mostraron entusiasmo impartiendo la asignatura.|han sido dinámicos y activos durante el cursado.|lograron que el cursado resulte ameno.|consiguieron mantener mi interés en la asignatura.|Las explicaciones de los profesores han resultado claras.|El material de la asignatura estaba bien preparado y pude acceder a él sin dificultad.|Los profesores trabajaron coordinadamente.|a participar en las discusiones.|a realizar preguntas.|a expresar sus propias ideas, opiniones y conocimientos.|a cuestionar las ideas expresadas por los profesores y por los demás estudiantes|se han mostrado amables con los estudiantes|han mostrado interés sincero por los estudiantes.|se han mostrado accesibles en el trato individual con los estudiantes.|hicieron sentir cómodos a los estudiantes que pidieron ayuda o consejos en clase y fuera de ella|presentaron fundamentos de los conceptos desarrollados en la clase.|expusieron otros puntos de vista diferentes del suyo cuando era apropiado.|presentaron los avances y situación actuales en la materia.|relacionaron conceptos con otros aprendidos con anterioridad.|Las devoluciones de los profesores sobre las evaluaciones fueron de gran ayuda.|Los métodos de evaluación que se implementaron fueron equitativos y adecuados.|Los contenidos de las evaluaciones se correspondieron con los contenidos del curso, y de acuerdo con énfasis puesto en el cursado.|Los enunciados y consignas de las evaluaciones fueron claras.|El material (bibliografía, apuntes, ejercitación, etc.) recomendado ha sido suficiente y adecuado.|Los soportes tecnológicos (clases grabadas, foros, videos, etc.) utilizados para explicar los temas fueron de gran ayuda.|Las tareas solicitadas (trabajos prácticos, presentaciones, proyectos, etc.) contrubuyeron a mejorar la valoración y la comprensión de la materia. DEJAR EN BLANCO SI NO SE SOLICITARON TAREAS|Fecha de inicio|Fecha fin
NA|--|Prueba de sufic. de inglés (FI9) - Comisión: 5 Ingles|Prueba de suficiencia de inglés (FI9)|Siempre|Casi siempre|Si, por promoción directa|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Neutro|Neutro|En desacuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|2022-12-04|2022-12-04
NA|--|Prueba de sufic. de inglés (FI9) - Comisión: 4 Ingles|Prueba de suficiencia de inglés (FI9)|Siempre|Casi siempre|Si, por promoción directa|De acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Neutro|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|2022-12-16|2022-12-16
NA|--|Prueba de sufic. de inglés (FI9) - Comisión: 1 Ingles|Prueba de suficiencia de inglés (FI9)|Siempre|Siempre|No sé, aún no informaron los resultados|Neutro|Neutro|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Neutro|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|NA|Completamente de acuerdo|De acuerdo|Neutro|De acuerdo|Neutro|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|2022-12-02|2022-12-02
NA|--|Prueba de sufic. de inglés (FI9) - Comisión: 1 Ingles|Prueba de suficiencia de inglés (FI9)|Siempre|No se solicitaron tareas|Si, por promoción directa|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|NA|2022-12-14|2022-12-14
NA|--|Física III (FB10) - Comisión: COM 520|Física III (FB10)|Casi siempre|No se solicitaron tareas|No sé, aún no finalicé el proceso de evaluación|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|En desacuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|Neutro|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Neutro|De acuerdo|Neutro|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Neutro|En desacuerdo|NA|2022-12-20|2022-12-20
NA|--|Física III (FB10) - Comisión: COM 510|Física III (FB10)|A veces|No se solicitaron tareas|No sé, aún no finalicé el proceso de evaluación|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Neutro|En desacuerdo|Neutro|Neutro|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|NA|Completamente de acuerdo|Completamente de acuerdo|Neutro|De acuerdo|Neutro|Neutro|Completamente de acuerdo|Completamente de acuerdo|NA|2022-12-12|2022-12-12
NA|--|Cálculo II (FB5) - Comisión: 670 Cálculo II|Cálculo II (FB5)|Casi siempre|Casi siempre|No|De acuerdo|De acuerdo|Neutro|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|2022-12-05|2022-12-05
NA|--|Representación gráfica (FB4) - Comisión: 661 Rep Gráfica|Representación gráfica (FB4)|Nunca|Nunca|No|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|2022-11-29|2022-11-29
NA|--|Cálculo II (FB5) - Comisión: 661 Cálculo II|Cálculo II (FB5)|Siempre|No se solicitaron tareas|No|De acuerdo|De acuerdo|Neutro|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|De acuerdo|NA|2022-12-08|2022-12-08
NA|--|Algebra lineal (FB9) - Comisión: 661 Álg Lineal|Algebra lineal (FB9)|Siempre|No se solicitaron tareas|No sé, aún no finalicé el proceso de evaluación|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|Completamente de acuerdo|De acuerdo|De acuerdo|De acuerdo|NA|2022-12-08|2022-12-08
